city,country,state,suburb,date,city_ascii,iso2,iso3,capital,worldcities_id,data_source,AWND,DAPR,DATN,DATX,DWPR,EVAP,MDPR,MDTN,MDTX,PGTM,PRCP,SN32,SN52,SNOW,SNWD,SX32,SX52,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WDFG,WDMV,WESD,WESF,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,lat,long,population,name,apparentTempMean,apparentTempMax,apparentTempMin,windSpeed10mMax,sunshineDuration,cloudCoverMean,dewPoint2mMean,relativeHumidity2mMean,snowfallWaterEquivSum,soilMoisture0to100cmMean,daylightDuration,rainSum,snowfallSum,precipitationHours
Tokyo,Japan,Hachijō Subprefecture,,2020-01-01,Tokyo,JP,,,,worldcities,,,,,,,,,,,0.15000000000000002,,,,,,,12.175,12.899999999999999,11.525,,,,,,,,,,,,,,,,,,,,,33.11700000000015,139.7830000000009,37977000,Tokyo Open-Meteo 2021-2024,5,6.675,2.875,53.275000000000006,23951.72,56,4.575,60,0,0,36021.135,0.15000000000000002,0,1.5
Tokyo,Japan,Hachijō Subprefecture,,2020-01-02,Tokyo,JP,,,,worldcities,,,,,,,,,,,2.6,,,,,,,13.2,14.225,12.2,,,,,,,,,,,,,,,,,,,,,33.11700000000015,139.7830000000009,37977000,Tokyo Open-Meteo 2021-2024,6.45,7.625,5.225,45.4,22765.555000000004,56,5.8,61,0,0,36054.0875,2.6,0,5.75
Tokyo,Japan,Hachijō Subprefecture,,2020-01-03,Tokyo,JP,,,,worldcities,,,,,,,,,,,3.775,,,,,,,12.925,13.825000000000001,12.075,,,,,,,,,,,,,,,,,,,,,33.11700000000015,139.7830000000009,37977000,Tokyo Open-Meteo 2021-2024,6.775,8.075,4.5,47.75,27925.25,65.25,5.775,62.5,0,0,36089.817500000005,3.775,0,5.5
Tokyo,Japan,Hachijō Subprefecture,,2020-01-04,Tokyo,JP,,,,worldcities,,,,,,,,,,,1.2249999999999999,,,,,,,12.700000000000001,13.45,11.825000000000001,,,,,,,,,,,,,,,,,,,,,33.11700000000015,139.7830000000009,37977000,Tokyo Open-Meteo 2021-2024,5.775,7.625,3.8999999999999995,49.324999999999996,29318.6125,40.75,4.949999999999999,59.5,0,0,36128.385,1.2249999999999999,0,6
Tokyo,Japan,Hachijō Subprefecture,,2020-01-05,Tokyo,JP,,,,worldcities,,,,,,,,,,,5.425,,,,,,,12.600000000000001,13.599999999999998,11.725,,,,,,,,,,,,,,,,,,,,,33.11700000000015,139.7830000000009,37977000,Tokyo Open-Meteo 2021-2024,6.8999999999999995,8.8,4.75,45.75000000000001,24094.627500000002,65.25,5.25,61.25,0,0,36169.722499999996,5.425,0,7.5
Tokyo,Japan,Hachijō Subprefecture,,2020-01-06,Tokyo,JP,,,,worldcities,,,,,,,,,,,3.4,,,,,,,13.1,14.025,11.899999999999999,,,,,,,,,,,,,,,,,,,,,33.11700000000015,139.7830000000009,37977000,Tokyo Open-Meteo 2021-2024,7.1499999999999995,8.875,5.175,44.275,21151.3075,72.25,6.824999999999999,66,0,0,36213.765,3.4,0,9.75
Tokyo,Japan,Hachijō Subprefecture,,2020-01-07,Tokyo,JP,,,,worldcities,,,,,,,,,,,2.475,,,,,,,11.6,13.525,9.8,,,,,,,,,,,,,,,,,,,,,33.11700000000015,139.7830000000009,37977000,Tokyo Open-Meteo 2021-2024,4.2250000000000005,7.449999999999999,1.6500000000000001,51.175000000000004,26384.5625,65.25,4.875,63.75,0,0,36260.4475,2.475,0,8.75
Tokyo,Japan,Hachijō Subprefecture,,2020-01-08,Tokyo,JP,,,,worldcities,,,,,,,,,,,1.15,,,,0.17500000000000002,,,11.575000000000001,12.974999999999998,10.674999999999999,,,,,,,,,,,,,,,,,,,,,33.11700000000015,139.7830000000009,37977000,Tokyo Open-Meteo 2021-2024,4.9,6.425,3.25,45.3,23394.7975,65.25,3.8249999999999997,59.25,0.025,0,36309.707500000004,1.125,0.0175,7
Tokyo,Japan,Hachijō Subprefecture,,2020-01-09,Tokyo,JP,,,,worldcities,,,,,,,,,,,7.7749999999999995,,,,0.17500000000000002,,,12.675,13.85,11.3,,,,,,,,,,,,,,,,,,,,,33.11700000000015,139.7830000000009,37977000,Tokyo Open-Meteo 2021-2024,6.3500000000000005,7.9,4,47.025000000000006,30113.3775,60.25,6.175,65.25,0.025,0,36361.64000000001,7.75,0.0175,11.25
Tokyo,Japan,Hachijō Subprefecture,,2020-01-10,Tokyo,JP,,,,worldcities,,,,,,,,,,,8.275,,,,,,,12.600000000000001,13.825,11.2,,,,,,,,,,,,,,,,,,,,,33.11700000000015,139.7830000000009,37977000,Tokyo Open-Meteo 2021-2024,6.95,9.4,3.3000000000000003,52.425000000000004,25242.567499999997,68.25,5.7749999999999995,64,0,0,36416.16,8.275,0,9.5
